decision_id,decision_type,action,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,inclusion_reason,exclusion_reason,evidence_anchor,source_url,query_date,decision_owner,decision_date,decision_status,double_count_key,notes
h1-include-1265,manual_include,include,issuer,issuer:TW:3484,issuer:TW:3484,-,-,-,崧騰,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3484,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3484,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1266,manual_include,include,issuer,issuer:TW:3485,issuer:TW:3485,-,-,-,敘豐,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3485,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3485,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1267,manual_include,include,issuer,issuer:TW:3489,issuer:TW:3489,-,-,-,森寶,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3489,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3489,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1268,manual_include,include,issuer,issuer:TW:3490,issuer:TW:3490,-,-,-,單井,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3490,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3490,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1269,manual_include,include,issuer,issuer:TW:3491,issuer:TW:3491,-,-,-,昇達科,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3491,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3491,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1270,manual_include,include,issuer,issuer:TW:3492,issuer:TW:3492,-,-,-,長盛,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3492,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3492,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1271,manual_include,include,issuer,issuer:TW:3498,issuer:TW:3498,-,-,-,陽程,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3498,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3498,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1272,manual_include,include,issuer,issuer:TW:3499,issuer:TW:3499,-,-,-,環天科,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3499,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3499,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1273,manual_include,include,issuer,issuer:TW:3508,issuer:TW:3508,-,-,-,位速,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3508,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3508,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1274,manual_include,include,issuer,issuer:TW:3511,issuer:TW:3511,-,-,-,矽瑪,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3511,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3511,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1275,manual_include,include,issuer,issuer:TW:3512,issuer:TW:3512,-,-,-,皇龍,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3512,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3512,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1276,manual_include,include,issuer,issuer:TW:3516,issuer:TW:3516,-,-,-,亞帝歐,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3516,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3516,H1 人闸批准；仅在本行 product_scope 内有效。
